Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
XP_018570324.1	AJE75667.1|GH1|	53.0	470	216	2	20	487	24	490	5.6e-163	571.6
XP_018570851.1	AJE75670.1|GH1|	68.0	494	155	2	4	494	8	501	3.1e-214	741.9
XP_018571131.1	AJE75667.1|GH1|	62.5	472	172	4	26	494	24	493	3.5e-189	658.7
XP_018571865.1	AEW46878.1|GH1|	54.0	470	208	4	23	488	31	496	6.8e-153	538.1
XP_018571866.1	AEW46878.1|GH1|	54.1	468	209	3	23	486	31	496	4.7e-154	542.0
XP_018572133.1	AJE75670.1|GH1|	65.7	493	166	2	5	494	9	501	2.8e-207	718.8
XP_018573206.1	AJE75661.1|GH1|	60.0	490	193	2	3	491	1	488	1.9e-187	652.9
XP_018573207.1	AJE75667.1|GH1|	62.4	489	179	4	6	491	7	493	1.2e-194	676.8
XP_018573208.1	AJE75667.1|GH1|	61.6	489	183	4	6	491	7	493	1.4e-190	663.3
XP_018573214.1	AJE75665.1|GH1|	61.1	473	182	2	23	493	17	489	2.7e-189	659.1
XP_018573472.1	AJE75661.1|GH1|	58.3	441	180	2	7	446	6	443	6.6e-163	571.2
XP_018573475.1	AJE75667.1|GH1|	60.3	489	189	4	6	491	7	493	3.5e-189	658.7
XP_018573476.1	AJE75671.1|GH1|	60.0	493	192	4	2	491	3	493	1.0e-185	647.1
XP_018573477.2	AFO93777.1|GH1|	46.6	977	468	17	26	990	938	1872	1.2e-265	913.7
XP_018573524.1	AJE75670.1|GH1|	67.2	494	159	2	4	494	8	501	7.9e-210	727.2
XP_018573699.1	AJE75667.1|GH1|	50.7	471	230	2	22	491	24	493	6.4e-143	505.0
XP_018573700.1	AJE75667.1|GH1|	49.3	471	237	2	21	490	24	493	4.3e-139	492.3
XP_018575352.1	AJE75670.1|GH1|	69.2	493	149	2	5	494	9	501	2.8e-215	745.3
XP_018576585.1	AJE75664.1|GH1|	66.1	487	164	1	16	501	16	502	3.4e-208	721.8
XP_018576586.1	AJE75664.1|GH1|	68.6	405	126	1	1	404	98	502	3.5e-179	625.2
XP_023310397.1	AJE75667.1|GH1|	50.0	480	223	8	23	494	24	494	2.9e-135	479.6
XP_023310604.1	AJE75667.1|GH1|	60.2	460	177	3	2	456	35	493	4.5e-175	611.7
XP_023310664.1	AJE75670.1|GH1|	69.2	487	149	1	5	490	9	495	2.4e-214	742.3
XP_023310665.1	AJE75670.1|GH1|	69.2	487	149	1	5	490	9	495	2.4e-214	742.3
XP_023310666.1	AJE75670.1|GH1|	67.0	488	159	2	5	491	9	495	4.8e-207	718.0
XP_023311341.1	AJE75667.1|GH1|	60.5	488	189	3	6	490	7	493	7.7e-189	657.5
XP_023311342.1	AJE75667.1|GH1|	61.8	489	182	4	6	491	7	493	1.1e-190	663.7
XP_023311344.1	AFO93777.1|GH1|	46.8	981	468	19	26	990	938	1880	1.4e-269	926.8
XP_023311495.1	AJE75661.1|GH1|	59.4	483	193	2	10	491	8	488	2.2e-188	656.0
XP_023311496.1	AJE75661.1|GH1|	59.2	483	194	2	10	491	8	488	3.2e-187	652.1
XP_023311712.1	AJE75667.1|GH1|	59.8	487	186	4	6	484	9	493	1.5e-184	643.3
XP_023312165.1	AJE75670.1|GH1|	70.6	269	78	1	4	271	8	276	1.6e-117	419.9
XP_023312484.1	AJE75664.1|GH1|	68.6	405	126	1	1	404	98	502	3.5e-179	625.2
XP_023312869.1	AJE75667.1|GH1|	62.4	474	170	5	22	491	24	493	9.1e-190	660.6
